,0,1,2
0,-177.8837,-226.4353,-246.5851
1,-182.9211,-228.4478,-245.0973
2,-179.2399,-218.6124,-227.8543
3,-181.9891,-229.1867,-233.7747
4,-189.9176,-222.9571,-233.5996
5,-176.5729,-216.1772,-242.0016
6,-171.8438,-222.1768,-240.3456
7,-187.0857,-222.0499,-225.7623
8,-172.5709,-217.7021,-234.1788
9,-177.9579,-214.3548,-233.8316
10,-171.3299,-220.0892,-236.6961
11,-170.8452,-218.2747,-241.613
12,-163.7517,-223.7274,-237.4095
13,-164.597,-220.8613,-243.1439
14,-163.2297,-217.3744,-239.1774
15,-157.8545,-215.0525,-240.7534
16,-159.5176,-205.3942,-233.4396
17,-140.7634,-215.6503,-234.9863
18,-151.3359,-222.6796,-238.3227
19,-149.8677,-219.1469,-226.9852
20,-145.607,-204.4295,-232.2283
21,-130.5785,-210.2255,-242.7036
22,-138.6342,-215.9014,-242.0211
23,-127.847,-207.0686,-235.1185
24,-119.4815,-214.412,-232.3939
25,-117.7955,-219.3471,-229.0064
26,-109.1691,-214.6067,-231.0779
27,-101.0639,-205.6865,-239.3513
28,-98.4275,-208.382,-229.9041
29,-97.6032,-215.6514,-245.8491
30,-94.9886,-216.6879,-238.9759
31,-94.411,-210.2274,-232.1652
32,-104.5417,-205.417,-227.273
33,-101.5884,-214.5088,-226.7359
34,-115.9381,-209.5495,-233.78
35,-128.0227,-214.1112,-232.8058
36,-126.5656,-208.2425,-235.0354
37,-133.5911,-211.6947,-230.7998
38,-143.9278,-211.4334,-227.9923
39,-146.8114,-204.0995,-231.8647
40,-140.4992,-212.837,-231.1544
41,-152.7329,-201.3708,-227.2428
42,-144.1566,-209.9773,-231.1282
43,-155.221,-213.9621,-243.4626
44,-160.371,-209.8745,-234.688
45,-162.3259,-209.1975,-235.4341
46,-167.2085,-215.3994,-236.6458
47,-170.5288,-210.6077,-232.9833
48,-160.5978,-218.4,-237.4511
49,-163.7461,-216.9817,-239.23
50,-172.9605,-194.2011,-239.0477
51,-178.1479,-209.5056,-237.0335
52,-176.3312,-205.699,-239.1494
53,-176.1306,-211.0117,-232.1107
54,-179.0062,-208.2591,-238.203
55,-178.5675,-205.7898,-234.4808
56,-181.6714,-204.4582,-233.4611
57,-186.3308,-213.6721,-225.2682
58,-185.8115,-209.5648,-240.1572
59,-179.0489,-204.2923,-233.9134
60,-188.2708,-220.3392,-239.7048
61,-189.5217,-227.2084,-236.4961
62,-182.6816,-224.7949,-232.5427
63,-176.3618,-220.354,-241.6809
64,-183.9822,-225.8312,-239.692
65,-179.7284,-215.77,-237.7803
66,-161.5651,-214.717,-244.1617
67,-177.4139,-217.2879,-235.8025
68,-175.5439,-221.6238,-233.735
69,-166.3888,-215.9501,-235.8126
70,-174.3995,-223.0437,-243.2697
71,-164.0829,-221.4038,-229.0057
72,-162.8776,-216.2548,-236.204
73,-161.0484,-214.7515,-238.523
74,-160.1362,-231.5476,-236.6795
75,-159.3906,-221.0624,-240.4327
76,-158.0513,-211.1205,-233.3849
77,-158.98,-227.5737,-237.8373
78,-154.701,-214.354,-235.1253
79,-150.5544,-214.4164,-243.4763
80,-131.1548,-217.5546,-224.3074
81,-135.9143,-203.315,-235.1731
82,-139.3828,-217.3393,-238.2724
83,-128.3481,-212.6901,-233.7534
84,-124.1793,-214.599,-229.5621
85,-120.5915,-210.3635,-229.8414
86,-115.6664,-213.9004,-233.5857
87,-111.5109,-213.9542,-235.1065
88,-106.6365,-213.0901,-239.2042
89,-89.7257,-205.4477,-233.6863
90,-104.853,-215.0652,-238.715
91,-107.3012,-213.9874,-229.4501
92,-113.9304,-208.6645,-235.6835
93,-119.5986,-209.6817,-239.4473
94,-121.4501,-198.0083,-224.7407
95,-132.1805,-206.9133,-245.1231
96,-132.5025,-204.904,-230.6833
97,-131.5935,-209.4487,-237.1077
98,-136.7521,-207.9872,-236.649
99,-140.5772,-215.4067,-240.7691
100,-142.352,-206.0788,-233.484
101,-147.0198,-206.7302,-233.4021
102,-150.0381,-211.4637,-231.9171
103,-144.0845,-206.7688,-225.1269
104,-156.6434,-215.2141,-235.2598
105,-158.6787,-207.9289,-241.7206
106,-165.3983,-205.3081,-234.7333
107,-168.494,-196.303,-225.7541
108,-173.0749,-208.8777,-236.8978
109,-166.6011,-207.47,-236.3459
110,-172.3999,-211.1797,-232.4731
111,-170.8414,-203.5354,-232.6472
112,-174.9208,-208.8915,-235.8861
113,-170.854,-204.5804,-233.8105
114,-184.6578,-196.129,-242.8773
115,-181.8994,-208.5837,-237.3471
116,-179.9139,-208.2054,-231.3537
117,-181.7172,-202.5864,-235.7849
118,-180.7387,-208.7182,-237.9891
119,-180.9014,-198.5328,-237.6061
120,-179.7453,-219.1207,-239.2733
121,-178.0661,-224.5833,-233.3576
122,-179.0167,-215.2021,-230.804
123,-176.7551,-221.6284,-241.5062
124,-178.659,-232.5714,-241.0632
125,-183.3363,-226.3161,-234.4967
126,-181.6949,-216.7902,-227.1835
127,-182.3111,-218.1895,-236.0902
128,-169.9987,-227.2092,-232.1228
129,-166.1427,-225.0579,-239.8418
130,-170.5652,-216.3841,-235.963
131,-169.5846,-211.5391,-228.1151
132,-164.2391,-211.792,-237.0398
133,-162.9554,-217.3335,-237.235
134,-153.6541,-221.1895,-235.7732
135,-163.574,-215.8191,-246.1592
136,-164.3871,-217.5846,-226.9375
137,-144.9976,-216.7796,-217.5008
138,-149.0936,-221.1872,-238.0493
139,-154.6378,-213.9283,-225.9766
140,-146.5737,-212.3895,-234.3094
141,-143.8485,-217.3756,-225.9636
142,-131.6063,-222.7908,-234.1601
